type,id,timerange
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
IMLF,riah00,short_term
IMLF,riah00,medium_term
ABLF,__shelbutt__,long_term
ABLF,__shelbutt__,medium_term
ABLR,__shelbutt__,short_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
ABCR,riah00,long_term
